ftkey,ftdesc,ftadusr,ftadtim,ftmdusr,ftmdtim,ftactive,fttype,ftsys,ftspare1,ftspare2,ftspare3
DG6316,Brucellosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6317,"Typhus, scrub",SBARTELL,1999-05-05,,,A,DG,,,,
DG6318,Melioidosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6319,Lyme Disease,SBARTELL,1999-05-05,,,A,DG,,,,
DG6320,Parasitic diseases otherwise not specified,SBARTELL,1999-05-05,,,A,DG,,,,
DG6350,"Lupus erythematosus, systemic (disseminated)",SBARTELL,1999-05-05,,,A,DG,,,,
DG6351,HIV-Related Illness,SBARTELL,1999-05-05,,,A,DG,,,,
DG6354,Chronic Fatigue Syndrome (CFS),SBARTELL,1999-05-05,,,A,DG,,,,
DG6399,"Other infectious disease, immune disorder, or nutritional deficiency",SBARTELL,1999-05-05,,,A,DG,,,,
DG6502,"Septum, nasal, deviation of",SBARTELL,1999-05-05,,,A,DG,,,,
DG6504,"Nose, loss of part of, or scars",SBARTELL,1999-05-05,,,A,DG,,,,
DG6510,"Sinusitis, pansinusitis, chronic",SBARTELL,1999-05-05,,,A,DG,,,,
DG6511,"Sinusitis, ethmoid, chronic",SBARTELL,1999-05-05,,,A,DG,,,,
DG6512,"Sinusitis, frontal, chronic",SBARTELL,1999-05-05,,,A,DG,,,,
DG6513,"Sinusitis, maxillary, chronic",SBARTELL,1999-05-05,,,A,DG,,,,
DG6514,"Sinusitis, sphenoid, chronic",SBARTELL,1999-05-05,,,A,DG,,,,
DG6515,"Laryngitis, tuberculous, active or inactive",SBARTELL,1999-05-05,,,A,DG,,,,
DG6516,"Laryngitis, chronic",SBARTELL,1999-05-05,,,A,DG,,,,
DG6518,"Laryngectomy, total",SBARTELL,1999-05-05,,,A,DG,,,,
DG6519,"Aphonia, complete organic",SBARTELL,1999-05-05,,,A,DG,,,,
DG6520,"Larynx, stenosis of, including residuals of laryngeal trauma (unilateral or bilateral)",SBARTELL,1999-05-05,,,A,DG,,,,
DG6521,"Pharynx, injuries to",SBARTELL,1999-05-05,,,A,DG,,,,
DG6522,Allergic or vasomotor rhinitis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6523,Bacterial rhinitis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6524,Granulomatous rhinitis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6599,Other disease of nose or throat,SBARTELL,1999-05-05,,,A,DG,,,,
DG6600,"Bronchitis, chronic",SBARTELL,1999-05-05,,,A,DG,,,,
DG6601,Bronchiectasis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6602,"Asthma, bronchial",SBARTELL,1999-05-05,,,A,DG,,,,
DG6603,"Emphysema, pulmonary",SBARTELL,1999-05-05,,,A,DG,,,,
DG6604,Chronic obstructive pulmonary disease,SBARTELL,1999-05-05,,,A,DG,,,,
DG6699,Other disease of trachea and/or bronchi,SBARTELL,1999-05-05,,,A,DG,,,,
DG6701,"Tuberculosis, pulmonary, chronic, far advanced, active [entitled 8/19/68]",SBARTELL,1999-05-05,,,A,DG,,,,
DG6702,"Tuberculosis, pulmonary, chronic, moderately advanced, active [entitled 8/19/68]",SBARTELL,1999-05-05,,,A,DG,,,,
DG6703,"Tuberculosis, pulmonary, chronic, minimal, active [entitled 8/19/68]",SBARTELL,1999-05-05,,,A,DG,,,,
DG6704,"Tuberculosis, pulmonary, chronic, active, advancement unspecified [entitled 8/19/68]",SBARTELL,1999-05-05,,,A,DG,,,,
DG6721,"Tuberculosis, pulmonary, chronic, far advanced, inactive [entitled 8/19/68]",SBARTELL,1999-05-05,,,A,DG,,,,
DG6722,"Tuberculosis, pulmonary, chronic, moderately advanced, inactive [entitled 8/19/68]",SBARTELL,1999-05-05,,,A,DG,,,,
DG6723,"Tuberculosis, pulmonary, chronic, minimal, inactive [entitled 8/19/68]",SBARTELL,1999-05-05,,,A,DG,,,,
DG6724,"Tuberculosis, pulmonary, chronic, inactive, advancement unspecified [entitled 8/19/68]",SBARTELL,1999-05-05,,,A,DG,,,,
DG6730,"Tuberculosis, pulmonary, chronic, active [after 8/19/68]",SBARTELL,1999-05-05,,,A,DG,,,,
DG6731,"Tuberculosis, pulmonary, chronic, inactive [after 8/19/68]",SBARTELL,1999-05-05,,,A,DG,,,,
DG6732,"Pleurisy, tuberculous, active or inactive [after 8/19/68]",SBARTELL,1999-05-05,,,A,DG,,,,
DG6799,Other tuberculous disease of lungs and/or pleura,SBARTELL,1999-05-05,,,A,DG,,,,
DG6817,Pulmonary Vascular Disease,SBARTELL,1999-05-05,,,A,DG,,,,
DG6819,"Neoplasms, malignant, any specified part of respiratory system exclusive of skin growths",SBARTELL,1999-05-05,,,A,DG,,,,
DG6820,"Neoplasms, benign, any specified part of respiratory system",SBARTELL,1999-05-05,,,A,DG,,,,
DG6822,Actinomycosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6823,Nocardiosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6824,Chronic lung abscess,SBARTELL,1999-05-05,,,A,DG,,,,
DG6825,"Diffuse interstitial fibrosis (interstitial pneumonitis, fibrosing alveolitis)",SBARTELL,1999-05-05,,,A,DG,,,,
DG6826,Desquamative interstitial pneumonitis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6827,Pulmonary alveolar proteinosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6828,Eosinophilic granuloma of lung,SBARTELL,1999-05-05,,,A,DG,,,,
DG6829,Drug-induced pulmonary pneumonitis and fibrosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6830,Radiation-induced pulmonary pneumonitis and fibrosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6831,Hypersensitivity pneumonitis (extrinsic allergic alveolitis),SBARTELL,1999-05-05,,,A,DG,,,,
DG6832,"Pneumoconiosis (silicosis, anthracosis, etc.)",SBARTELL,1999-05-05,,,A,DG,,,,
DG6833,Asbestosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6834,Histoplasmosis of lung,SBARTELL,1999-05-05,,,A,DG,,,,
DG6835,Coccidioidomycosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6836,Blastomycosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6837,Cryptococcosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6838,Aspergillosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6839,Mucormycosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6840,Diaphragm paralysis or paresis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6841,Spinal cord injury with respiratory insufficiency,SBARTELL,1999-05-05,,,A,DG,,,,
DG6842,"Kyphoscoliosis, pectus excavatum, pectus carinatum",SBARTELL,1999-05-05,,,A,DG,,,,
DG6843,"Traumatic chest wall defect, pneumothorax, hernia, etc",SBARTELL,1999-05-05,,,A,DG,,,,
DG6844,"Post-surgical residual (lobectomy, pneumonectomy, etc.)",SBARTELL,1999-05-05,,,A,DG,,,,
DG6845,Chronic pleural effusion or fibrosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6846,Sarcoidosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG6847,"Sleep Apnea Syndromes (Obstructive, Central, Mixed)",SBARTELL,1999-05-05,,,A,DG,,,,
DG6899,Other nontuberculous disease of lungs and/or pleura,SBARTELL,1999-05-05,,,A,DG,,,,
DG7000,Valvular heart disease (including rheumatic heart disease),SBARTELL,1999-05-05,,,A,DG,,,,
DG7001,Endocarditis,SBARTELL,1999-05-05,,,A,DG,,,,
DG7002,Pericarditis,SBARTELL,1999-05-05,,,A,DG,,,,
DG7003,Pericardial adhesions,SBARTELL,1999-05-05,,,A,DG,,,,
DG7004,Syphilitic heart disease,SBARTELL,1999-05-05,,,A,DG,,,,
DG7005,Arteriosclerotic heart disease (Coronary artery disease),SBARTELL,1999-05-05,,,A,DG,,,,
DG7006,Myocardial infarction,SBARTELL,1999-05-05,,,A,DG,,,,
DG7007,Hypertensive heart disease,SBARTELL,1999-05-05,,,A,DG,,,,
DG7008,Hyperthyroid heart disease,SBARTELL,1999-05-05,,,A,DG,,,,
DG7010,Supraventricular arrhythmias,SBARTELL,1999-05-05,,,A,DG,,,,
DG7011,Ventricular arrhythmias (sustained),SBARTELL,1999-05-05,,,A,DG,,,,
DG7015,Atrioventricular block,SBARTELL,1999-05-05,,,A,DG,,,,
DG7016,Heart valve replacement (prosthesis),SBARTELL,1999-05-05,,,A,DG,,,,
DG7017,Coronary bypass surgery,SBARTELL,1999-05-05,,,A,DG,,,,
DG7018,Implantable cardiac pacemakers,SBARTELL,1999-05-05,,,A,DG,,,,
DG7019,Cardiac transplantation,SBARTELL,1999-05-05,,,A,DG,,,,
DG7020,Cardiomyopathy,SBARTELL,1999-05-05,,,A,DG,,,,
DG7099,Other heart disease,SBARTELL,1999-05-05,,,A,DG,,,,
DG7101,Hypertensive vascular disease (hypertension and isolated systolic hypertension),SBARTELL,1999-05-05,,,A,DG,,,,
DG7110,Aortic aneurysm,SBARTELL,1999-05-05,,,A,DG,,,,
DG7111,"Aneurysm, any large artery",SBARTELL,1999-05-05,,,A,DG,,,,
DG7112,"Aneurysm, any small artery",SBARTELL,1999-05-05,,,A,DG,,,,
DG7113,"Arteriovenous fistula, traumatic",SBARTELL,1999-05-05,,,A,DG,,,,
DG7114,Arteriosclerosis obliterans,SBARTELL,1999-05-05,,,A,DG,,,,
DG7115,Thrombo-angiitis obliterans (Buerger's Disease),SBARTELL,1999-05-05,,,A,DG,,,,
DG7117,Raynaud's syndrome,SBARTELL,1999-05-05,,,A,DG,,,,
DG7118,Angioneurotic edema,SBARTELL,1999-05-05,,,A,DG,,,,
DG7119,Erythromelalgia,SBARTELL,1999-05-05,,,A,DG,,,,
DG7120,Varicose veins,SBARTELL,1999-05-05,,,A,DG,,,,
DG7121,Post-phlebitic syndrome of any etiology,SBARTELL,1999-05-05,,,A,DG,,,,
DG7122,Cold injury residuals,SBARTELL,1999-05-05,,,A,DG,,,,
DG7123,Soft tissue sarcoma (of vascular origin),SBARTELL,1999-05-05,,,A,DG,,,,
DG7199,Other disease of arteries and/or veins,SBARTELL,1999-05-05,,,A,DG,,,,
DG7200,"Mouth, injuries of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7201,"Lips, injuries of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7202,"Tongue, loss of whole or part",SBARTELL,1999-05-05,,,A,DG,,,,
DG7203,"Esophagus, stricture of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7204,"Esophagus, spasm of (cardiospasm)",SBARTELL,1999-05-05,,,A,DG,,,,
DG7205,"Esophagus, diverticulum of, acquired",SBARTELL,1999-05-05,,,A,DG,,,,
DG7299,Other digestive system injury,SBARTELL,1999-05-05,,,A,DG,,,,
DG7301,"Peritoneum, adhesions of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7304,"Ulcer, gastric",SBARTELL,1999-05-05,,,A,DG,,,,
DG7305,"Ulcer, duodenal",SBARTELL,1999-05-05,,,A,DG,,,,
DG7306,"Ulcer, marginal (gastrojejunal)",SBARTELL,1999-05-05,,,A,DG,,,,
DG7307,"Gastritis, hypertrophic (identified by gastroscope)",SBARTELL,1999-05-05,,,A,DG,,,,
DG7308,Postgastrectomy syndromes,SBARTELL,1999-05-05,,,A,DG,,,,
DG7309,"Stomach, stenosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7310,"Stomach, injury of, residuals",SBARTELL,1999-05-05,,,A,DG,,,,
DG7311,Residuals of injury of the liver,SBARTELL,1999-05-05,SBARTELL,2004-03-10,A,DG,,,,
DG7312,"Cirrhosis of the liver, primary biliary cirrhosis, or cirrhotic phase of sclerosing cholangitis",SBARTELL,1999-05-05,SBARTELL,2004-03-10,A,DG,,,,
DG7313,"Liver, abscess of, residuals",SBARTELL,1999-05-05,SBARTELL,2004-03-10,I,DG,,,,
DG7314,"Cholecystitis, chronic",SBARTELL,1999-05-05,,,A,DG,,,,
DG7315,"Cholelithiasis, chronic",SBARTELL,1999-05-05,,,A,DG,,,,
DG7316,"Cholangitis, chronic",SBARTELL,1999-05-05,,,A,DG,,,,
DG7317,"Gall bladder, injury of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7318,"Gall bladder, removal of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7319,"Irritable colon syndrome (spastic colitis, mucous colitis, etc.)",SBARTELL,1999-05-05,,,A,DG,,,,
DG7321,Amebiasis,SBARTELL,1999-05-05,,,A,DG,,,,
DG7322,"Dysentery, bacillary",SBARTELL,1999-05-05,,,A,DG,,,,
DG7323,"Colitis, ulcerative",SBARTELL,1999-05-05,,,A,DG,,,,
DG7324,"Distomiasis, intestinal or hepatic",SBARTELL,1999-05-05,,,A,DG,,,,
DG7325,"Enteritis, chronic",SBARTELL,1999-05-05,,,A,DG,,,,
DG7326,"Enterocolitis, chronic",SBARTELL,1999-05-05,,,A,DG,,,,
DG7327,Diverticulitis,SBARTELL,1999-05-05,,,A,DG,,,,
DG7328,"Intestine, small, resection of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7329,"Intestine, large, resection of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7330,"Intestine, fistula of, persistent, or after attempt at operative closure",SBARTELL,1999-05-05,,,A,DG,,,,
DG7331,"Peritonitis, tuberculous, active or inactive",SBARTELL,1999-05-05,,,A,DG,,,,
DG7332,"Rectum and anus, impairment of sphincter control",SBARTELL,1999-05-05,,,A,DG,,,,
DG7333,"Rectum and anus, stricture of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7334,"Rectum, prolapse of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7335,"Ano, fistula in",SBARTELL,1999-05-05,,,A,DG,,,,
DG7336,"Hemorrhoids, external or internal",SBARTELL,1999-05-05,,,A,DG,,,,
DG7337,Pruritus ani,SBARTELL,1999-05-05,,,A,DG,,,,
DG7338,"Hernia, inguinal",SBARTELL,1999-05-05,,,A,DG,,,,
DG7339,"Hernia, ventral, postoperative",SBARTELL,1999-05-05,,,A,DG,,,,
DG7340,"Hernia, femoral",SBARTELL,1999-05-05,,,A,DG,,,,
DG7342,"Visceroptosis, symptomatic, marked",SBARTELL,1999-05-05,,,A,DG,,,,
DG7343,"Malignant neoplasms of the digestive system, exclusive of skin growths ",SBARTELL,1999-05-05,SBARTELL,2004-03-10,A,DG,,,,
DG7344,"Benign neoplasms, exclusive of skin growths",SBARTELL,1999-05-05,SBARTELL,2004-03-10,A,DG,,,,
DG7345,"Chronic liver disease without cirrhosis (including hepatitis B, chronic active hepatitis, etc.)",SBARTELL,1999-05-05,SBARTELL,2004-03-10,A,DG,,,,
DG7346,Hernia hiatal,SBARTELL,1999-05-05,,,A,DG,,,,
DG7347,Pancreatitis,SBARTELL,1999-05-05,,,A,DG,,,,
DG7348,Vagotomy with pyloroplasty or gastroenterostomy,SBARTELL,1999-05-05,,,A,DG,,,,
DG7351,Liver transplant,SBARTELL,2002-02-25,,,A,DG,,,,
DG7354,"Hepatitis C (or non-A, non-B hepatitis)",SBARTELL,2002-02-25,,,A,DG,,,,
DG7399,Other digestive system disease,SBARTELL,1999-05-05,,,A,DG,,,,
DG7500,"Kidney, removal of one",SBARTELL,1999-05-05,,,A,DG,,,,
DG7501,"Kidney, abscess of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7502,"Nephritis, chronic",SBARTELL,1999-05-05,,,A,DG,,,,
DG7504,"Pyelonephritis, chronic",SBARTELL,1999-05-05,,,A,DG,,,,
DG7505,"Kidney, tuberculosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7507,"Nephrosclerosis, arteriolar",SBARTELL,1999-05-05,,,A,DG,,,,
DG7508,Nephrolithiasis,SBARTELL,1999-05-05,,,A,DG,,,,
DG7509,Hydronephrosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG7510,Ureterolithiasis,SBARTELL,1999-05-05,,,A,DG,,,,
DG7511,"Ureter, stricture of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7512,"Cystitis, chronic, includes interstitial and all etiologies, infectious and non-infectious",SBARTELL,1999-05-05,,,A,DG,,,,
DG7515,"Bladder, calculus in, with symptoms interfering with function",SBARTELL,1999-05-05,,,A,DG,,,,
DG7516,"Bladder, fistula of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7517,"Bladder, injury of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7518,"Urethra, stricture of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7519,"Urethra, fistual of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7520,"Penis, removal of half or more",SBARTELL,1999-05-05,,,A,DG,,,,
DG7521,Penis removal of glans,SBARTELL,1999-05-05,,,A,DG,,,,
DG7522,"Penis, deformity, with loss of erectile power",SBARTELL,1999-05-05,,,A,DG,,,,
DG7523,"Testis, atrophy complete",SBARTELL,1999-05-05,,,A,DG,,,,
DG7524,"Testis, removal",SBARTELL,1999-05-05,,,A,DG,,,,
DG7525,"Epididymo-orchitis, chronic only",SBARTELL,1999-05-05,,,A,DG,,,,
DG7527,"Prostate gland injuries, infections, hypertrophy, postoperative residuals",SBARTELL,1999-05-05,,,A,DG,,,,
DG7528,Malignant neoplasms of the genitourinary system,SBARTELL,1999-05-05,,,A,DG,,,,
DG7529,Benign neoplasms of the genitourinary system,SBARTELL,1999-05-05,,,A,DG,,,,
DG7530,Chronic renal disease requiring regular dialysis,SBARTELL,1999-05-05,,,A,DG,,,,
DG7531,Kidney transplant,SBARTELL,1999-05-05,,,A,DG,,,,
DG7532,Renal tubular disorders,SBARTELL,1999-05-05,,,A,DG,,,,
DG7533,Cystic diseases of the kidneys,SBARTELL,1999-05-05,,,A,DG,,,,
DG7534,Atherosclerotic renal disease (renal artery stenosis or atheroembolic renal disease),SBARTELL,1999-05-05,,,A,DG,,,,
DG7535,Toxic nephropathy,SBARTELL,1999-05-05,,,A,DG,,,,
DG7536,Glomerulonephritis,SBARTELL,1999-05-05,,,A,DG,,,,
DG7537,Interstitial nephritis,SBARTELL,1999-05-05,,,A,DG,,,,
DG7538,Papillary necrosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG7539,Renal amyloid disease,SBARTELL,1999-05-05,,,A,DG,,,,
DG7540,Disseminated intravascular coagulation with renal cortical necrosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG7541,Renal involvement in systemic disease processes (see code for list),SBARTELL,1999-05-05,,,A,DG,,,,
DG7542,Neurogenic bladder,SBARTELL,1999-05-05,,,A,DG,,,,
DG7599,Other genitourinary disability,SBARTELL,1999-05-05,,,A,DG,,,,
DG7610,"Vulva, disease or injury of (including vulvovaginitis)",SBARTELL,1999-05-05,,,A,DG,,,,
DG7611,"Vagina, disease or injury of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7612,"Cervix, disease or injury of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7613,"Uterus, disease, injury, or adhesions of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7614,"Fallopian tube, disease, injury, or adhesions of (including PID)",SBARTELL,1999-05-05,,,A,DG,,,,
DG7615,"Ovary, disease, injury, or adhesions of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7617,"Uterus and both ovaries, removal of, complete",SBARTELL,1999-05-05,,,A,DG,,,,
DG7618,"Uterus, removal of, including corpus",SBARTELL,1999-05-05,,,A,DG,,,,
DG7619,"Ovary, removal of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7620,"Ovaries, atrophy of both, complete",SBARTELL,1999-05-05,,,A,DG,,,,
DG7621,"Uterus, prolapse",SBARTELL,1999-05-05,,,A,DG,,,,
DG7622,"Uterus, displacement of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7623,"Pregnancy, surgical complications of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7624,"Fistula, rectovaginal",SBARTELL,1999-05-05,,,A,DG,,,,
DG7625,"Fistula, urethrovaginal",SBARTELL,1999-05-05,,,A,DG,,,,
DG7626,"Breast, surgery of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7627,Malignant neoplasms of gynecological system or breast,SBARTELL,1999-05-05,,,A,DG,,,,
DG7628,Benign neoplasms of the gynecological system or breast,SBARTELL,1999-05-05,,,A,DG,,,,
DG7629,Endometriosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG7699,Other gynecological or breast disability,SBARTELL,1999-05-05,,,A,DG,,,,
DG7700,"Anemia, hypochromic-microcytic and megaloblastic",SBARTELL,1999-05-05,,,A,DG,,,,
DG7702,"Agranulocytosis, acute",SBARTELL,1999-05-05,,,A,DG,,,,
DG7703,Leukemia,SBARTELL,1999-05-05,,,A,DG,,,,
DG7704,Polycythemia vera,SBARTELL,1999-05-05,,,A,DG,,,,
DG7705,"Thrombocytopenia, primary, idiopathic or immune",SBARTELL,1999-05-05,,,A,DG,,,,
DG7706,Splenectomy,SBARTELL,1999-05-05,,,A,DG,,,,
DG7707,"Spleen, injury of, healed",SBARTELL,1999-05-05,,,A,DG,,,,
DG7709,Hodgkin's disease,SBARTELL,1999-05-05,,,A,DG,,,,
DG7710,"Adenitis, tuberculous, active or inactive",SBARTELL,1999-05-05,,,A,DG,,,,
DG7714,Sickle cell anemia,SBARTELL,1999-05-05,,,A,DG,,,,
DG7715,Non-Hodgkin's lymphoma,SBARTELL,1999-05-05,,,A,DG,,,,
DG7716,Aplastic anemia,SBARTELL,1999-05-05,,,A,DG,,,,
DG7799,Other hemic or lymphatic system disability,SBARTELL,1999-05-05,,,A,DG,,,,
DG7800,"Disfigurement of the head, face, or neck",SBARTELL,1999-05-05,SBARTELL,2004-03-10,A,DG,,,,
DG7801,"Scars, other than head, face, or neck, that are deep or that cause limited motion",SBARTELL,1999-05-05,SBARTELL,2004-03-10,A,DG,,,,
DG7802,"Scars, other than head, face, or neck, that are superficial and that do not cause limited motion",SBARTELL,1999-05-05,SBARTELL,2004-03-10,A,DG,,,,
DG7803,"Scars, superficial, unstable",SBARTELL,1999-05-05,SBARTELL,2004-03-10,A,DG,,,,
DG7804,"Scars, superficial, painful on examination",SBARTELL,1999-05-05,SBARTELL,2004-03-10,A,DG,,,,
DG7805,"Scars, other",SBARTELL,1999-05-05,,,A,DG,,,,
DG7806,Dermatitis or eczema,SBARTELL,1999-05-05,SBARTELL,2004-03-10,A,DG,,,,
DG7807,"American (New World) leishmaniasis (mucocutaneous, espundia)",SBARTELL,1999-05-05,SBARTELL,2004-03-10,A,DG,,,,
DG7808,"Old World leishmaniasis (cutaneous, Oriental sore)",SBARTELL,1999-05-05,SBARTELL,2004-03-10,A,DG,,,,
DG7809,Discoid lupus erythematosus or subacute cutaneous lupus erythematosus,SBARTELL,1999-05-05,SBARTELL,2004-03-10,A,DG,,,,
DG7810,Pinta,SBARTELL,1999-05-05,SBARTELL,2004-03-10,I,DG,,,,
DG7811,"Tuberculosis luposa (lupus vulgaris), active or inactive",SBARTELL,1999-05-05,,,A,DG,,,,
DG7812,Verruga peruana,SBARTELL,1999-05-05,SBARTELL,2004-03-10,I,DG,,,,
DG7813,Dermatophytosis,SBARTELL,1999-05-05,,,A,DG,,,,
DG7814,Tinea barbae,SBARTELL,1999-05-05,SBARTELL,2004-03-10,I,DG,,,,
DG7815,Bullous disorders,SBARTELL,1999-05-05,SBARTELL,2004-03-10,A,DG,,,,
DG7816,Psoriasis,SBARTELL,1999-05-05,,,A,DG,,,,
DG7817,Exfoliative dermatitis (erythroderma),SBARTELL,1999-05-05,SBARTELL,2004-03-10,A,DG,,,,
DG7818,Malignant skin neoplasms (other than malignant melanoma),SBARTELL,1999-05-05,SBARTELL,2004-03-10,A,DG,,,,
DG7819,Benign skin neoplasms,SBARTELL,1999-05-05,SBARTELL,2004-03-10,A,DG,,,,
DG7820,"Infections of the skin not listed elsewhere (including bacterial, fungal, viral, treponemal)",SBARTELL,2004-03-10,,,A,DG,,,,
DG7821,Cutaneous manifestations of collagen-vascular diseases not listed elsewhere (including scleroderma),SBARTELL,2004-03-10,,,A,DG,,,,
DG7822,"Papulosquamous disorders not listed elsewhere (including lichen planus, large or small plaque parap)",SBARTELL,2004-03-10,,,A,DG,,,,
DG7823,Vitiligo,SBARTELL,2004-03-10,,,A,DG,,,,
DG7824,"Diseases of keratinization (including icthyoses, Darier's disease, and palmoplantar keratoderma)",SBARTELL,2004-03-10,,,A,DG,,,,
DG7825,Urticaria,SBARTELL,2004-03-10,,,A,DG,,,,
DG7826,"Vasculitis, primary cutaneous",SBARTELL,2004-03-10,,,A,DG,,,,
DG7827,Erythema multiforme; Toxic epidermal necrolysis,SBARTELL,2004-03-10,,,A,DG,,,,
DG7828,Acne,SBARTELL,2004-03-10,,,A,DG,,,,
DG7829,Chloracne,SBARTELL,2004-03-10,,,A,DG,,,,
DG7830,Scarring alopecia,SBARTELL,2004-03-10,,,A,DG,,,,
DG7831,Alopecia areata,SBARTELL,2004-03-10,,,A,DG,,,,
DG7832,Hyperhidrosis,SBARTELL,2004-03-10,,,A,DG,,,,
DG7833,Malignant melanoma,SBARTELL,2004-03-10,,,A,DG,,,,
DG7899,Other skin disability,SBARTELL,1999-05-05,,,A,DG,,,,
DG7900,Hyperthyroidism,SBARTELL,1999-05-05,,,A,DG,,,,
DG7901,"Thyroid gland, toxic adenoma of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7902,"Thyroid gland, nontoxic adenoma of",SBARTELL,1999-05-05,,,A,DG,,,,
DG7903,Hypothyroidism,SBARTELL,1999-05-05,,,A,DG,,,,
DG7904,Hyperparathyroidism,SBARTELL,1999-05-05,,,A,DG,,,,
DG7905,Hypoparathyroidism,SBARTELL,1999-05-05,,,A,DG,,,,
DG7907,Cushing's syndrome,SBARTELL,1999-05-05,,,A,DG,,,,
DG7908,Acromegaly,SBARTELL,1999-05-05,,,A,DG,,,,
DG7909,Diabetes insipidus,SBARTELL,1999-05-05,,,A,DG,,,,
DG7911,Addison's disease (Adrenal Cortical Hypofunction),SBARTELL,1999-05-05,,,A,DG,,,,
DG7912,Pluriglandular syndrome,SBARTELL,1999-05-05,,,A,DG,,,,
DG7913,Diabetes mellitus,SBARTELL,1999-05-05,,,A,DG,,,,
DG7914,"Neoplasm, malignant, any specified part of the endocrine system",SBARTELL,1999-05-05,,,A,DG,,,,
DG7915,"Neoplasm, benign, any specified part of the endocrine system",SBARTELL,1999-05-05,,,A,DG,,,,
DG7916,Hyperpituitarism (prolactin secreting pituitary dysfunction),SBARTELL,1999-05-05,,,A,DG,,,,
DG7917,Hyperaldosteronism (benign or malignant),SBARTELL,1999-05-05,,,A,DG,,,,
DG7918,Pheochromocytoma (benign or malignant),SBARTELL,1999-05-05,,,A,DG,,,,
DG7919,C-cell hyperplasia of the thyroid,SBARTELL,1999-05-05,,,A,DG,,,,
DG7999,Other endocrine system disability,SBARTELL,1999-05-05,,,A,DG,,,,
DG8000,"Encephalitis, epidemic, chronic",SBARTELL,1999-05-05,,,A,DG,,,,
DG8002,"Brain, new growth of, malignant",SBARTELL,1999-05-05,,,A,DG,,,,
DG8003,"Brain, new growth of, benign",SBARTELL,1999-05-05,,,A,DG,,,,
DG8004,Paralysis agitans,SBARTELL,1999-05-05,,,A,DG,,,,
DG8005,Bulbar palsy,SBARTELL,1999-05-05,,,A,DG,,,,
DG8007,"Brain, vessels, embolism of",SBARTELL,1999-05-05,,,A,DG,,,,
DG8008,"Brain, vessels, thrombosis of",SBARTELL,1999-05-05,,,A,DG,,,,
DG8009,"Brain, vessels, hemorrhage from",SBARTELL,1999-05-05,,,A,DG,,,,
DG8010,Myelitis,SBARTELL,1999-05-05,,,A,DG,,,,
DG8011,"Poliomyelitis, anterior",SBARTELL,1999-05-05,,,A,DG,,,,
