Table,Column,Type,Required,Primary Key,Foreign Key,Unique,Index,Description
end_product_code_updates,end_product_establishment_id,integer (8) ∗ FK,x,,x,,x,
end_product_code_updates,id,integer (8) PK,x,x,,,,
end_product_code_updates,updated_at,datetime ∗,x,,,,x,
end_product_establishments,,,,,,,,"Represents end products that have been, or need to be established by Caseflow. Used to track the status of those end products as they are processed in VBMS and/or SHARE."
end_product_establishments,benefit_type_code,string,,,,,,"1 if the Veteran is alive, and 2 if the Veteran is deceased. Not to be confused with benefit_type, which is unrelated."
end_product_establishments,claim_date,date,,,,,,The claim_date for end product established.
end_product_establishments,claimant_participant_id,string,,,,,,The participant ID of the claimant submitted on the end product.
end_product_establishments,code,string,,,,,,"The end product code, which determines the type of end product that is established. For example, it can contain information about whether it is rating, nonrating, compensation, pension, created automatically due to a Duty to Assist Error, and more."
end_product_establishments,committed_at,datetime,,,,,,"Timestamp indicating other actions performed as part of a larger atomic operation containing the end product establishment, such as creating contentions, are also complete."
end_product_establishments,created_at,datetime,,,,,,
end_product_establishments,development_item_reference_id,string,,,,,,"When a Veteran requests an informal conference with their higher level review, a tracked item is created. This stores the ID of the of the tracked item, it is also used to indicate the success of creating the tracked item."
end_product_establishments,doc_reference_id,string,,,,,,"When a Veteran requests an informal conference, a claimant letter is generated. This stores the document ID of the claimant letter, and is also used to track the success of creating the claimant letter."
end_product_establishments,established_at,datetime,,,,,,Timestamp for when the end product was established.
end_product_establishments,id,integer (8) PK,x,x,,,,
end_product_establishments,last_synced_at,datetime,,,,,,"The time that the status of the end product was last synced with BGS. The end product is synced until it is canceled or cleared, meaning it is no longer active."
end_product_establishments,limited_poa_access,boolean,,,,,,Indicates whether the limited Power of Attorney has access to view documents
end_product_establishments,limited_poa_code,string,,,,,,"The limited Power of Attorney code, which indicates whether the claim has a POA specifically for this claim, which can be different than the Veteran's POA"
end_product_establishments,modifier,string,,,,,,"The end product modifier. For higher level reviews, the modifiers range from 030-039. For supplemental claims, they range from 040-049. The same modifier cannot be used twice for an active end product per Veteran. Once an end product is no longer active, the modifier can be used again."
end_product_establishments,payee_code,string ∗,x,,,,,The payee_code of the claimant submitted for this end product.
end_product_establishments,reference_id,string,,,,,,"The claim_id of the end product, which is stored after the end product is successfully established in VBMS."
end_product_establishments,source_id,integer (8) ∗ FK,x,,x,,x,The ID of the source that resulted in this end product establishment.
end_product_establishments,source_type,string ∗,x,,,,x,The type of source that resulted in this end product establishment.
end_product_establishments,station,string,,,,,,The station ID of the end product's station.
end_product_establishments,synced_status,string,,,,,,"The status of the end product, which is synced by a job. Once and end product is cleared (CLR) or canceled (CAN) the status is final and the end product will not continue being synced."
end_product_establishments,updated_at,datetime,,,,,x,
end_product_establishments,user_id,integer FK,,,x,,x,The ID of the user who performed the decision review intake.
end_product_establishments,veteran_file_number,string ∗,x,,,,x,The file number of the Veteran submitted when establishing the end product.
end_product_updates,,,,,,,,Updates the claim label for end products established from Caseflow
end_product_updates,active_request_issue_ids,integer (8) ∗,x,,,,,A list of active request issue IDs when a user has finished editing a decision review. Used to keep track of which request issues may have been impacted by the update.
end_product_updates,created_at,datetime ∗,x,,,,,
end_product_updates,end_product_establishment_id,integer (8) ∗ FK,x,,x,,x,The end product establishment id used to track the end product being updated.
end_product_updates,error,string,,,,,,The error message captured from BGS if the end product update failed.
end_product_updates,id,integer (8) PK,x,x,,,,
end_product_updates,new_code,string,,,,,,The new end product code the user wants to update to.
end_product_updates,original_code,string,,,,,,The original end product code before the update was submitted.
end_product_updates,original_decision_review_id,integer (8),,,,,x,The original decision review that this end product update belongs to; has a non-nil value only if a new decision_review was created.
end_product_updates,original_decision_review_type,string,,,,,x,The original decision review type that this end product update belongs to
end_product_updates,status,string,,,,,,"Status after an attempt to update the end product; expected values: 'success', 'error', ..."
end_product_updates,updated_at,datetime ∗,x,,,,,
end_product_updates,user_id,integer (8) ∗ FK,x,,x,,x,The ID of the user who makes an end product update.
form8s,,,,,,,,
form8s,_initial_appellant_name,string,,,,,,
form8s,_initial_appellant_relationship,string,,,,,,
form8s,_initial_hearing_requested,string,,,,,,
form8s,_initial_increased_rating_notification_date,date,,,,,,
form8s,_initial_insurance_loan_number,string,,,,,,
form8s,_initial_other_notification_date,date,,,,,,
form8s,_initial_representative_name,string,,,,,,
form8s,_initial_representative_type,string,,,,,,
form8s,_initial_service_connection_notification_date,date,,,,,,
form8s,_initial_soc_date,date,,,,,,
form8s,_initial_ssoc_required,string,,,,,,
form8s,_initial_veteran_name,string,,,,,,
form8s,agent_accredited,string,,,,,,
form8s,appellant_name,string,,,,,,
form8s,appellant_relationship,string,,,,,,
form8s,certification_date,date,,,,,,
form8s,certification_id,integer,,,,,x,
form8s,certifying_office,string,,,,,,
form8s,certifying_official_name,string,,,,,,
form8s,certifying_official_title,string,,,,,,
form8s,certifying_official_title_specify_other,string,,,,,,
form8s,certifying_username,string,,,,,,
form8s,contested_claims_procedures_applicable,string,,,,,,
form8s,contested_claims_requirements_followed,string,,,,,,
form8s,created_at,datetime ∗,x,,,,,
form8s,file_number,string,,,,,,
form8s,form9_date,date,,,,,,
form8s,form_646_not_of_record_explanation,string,,,,,,
form8s,form_646_of_record,string,,,,,,
form8s,hearing_held,string,,,,,,
form8s,hearing_preference,string,,,,,,
form8s,hearing_requested,string,,,,,,
form8s,hearing_requested_explanation,string,,,,,,
form8s,hearing_transcript_on_file,string,,,,,,
form8s,id,integer PK,x,x,,,,
form8s,increased_rating_for,text,,,,,,
form8s,increased_rating_notification_date,date,,,,,,
form8s,insurance_loan_number,string,,,,,,
form8s,nod_date,date,,,,,,
form8s,other_for,text,,,,,,
form8s,other_notification_date,date,,,,,,
form8s,power_of_attorney,string,,,,,,
form8s,power_of_attorney_file,string,,,,,,
form8s,record_cf_or_xcf,string,,,,,,
form8s,record_clinical_rec,string,,,,,,
form8s,record_dental_f,string,,,,,,
form8s,record_dep_ed_f,string,,,,,,
form8s,record_hospital_cor,string,,,,,,
form8s,record_inactive_cf,string,,,,,,
form8s,record_insurance_f,string,,,,,,
form8s,record_loan_guar_f,string,,,,,,
form8s,record_other,string,,,,,,
form8s,record_other_explanation,text,,,,,,
form8s,record_outpatient_f,string,,,,,,
form8s,record_r_and_e_f,string,,,,,,
form8s,record_slides,string,,,,,,
form8s,record_tissue_blocks,string,,,,,,
form8s,record_training_sub_f,string,,,,,,
form8s,record_x_rays,string,,,,,,
form8s,remarks,text,,,,,,
form8s,representative_name,string,,,,,,
form8s,representative_type,string,,,,,,
form8s,representative_type_specify_other,string,,,,,,
form8s,service_connection_for,text,,,,,,
form8s,service_connection_notification_date,date,,,,,,
form8s,soc_date,date,,,,,,
form8s,ssoc_date_1,date,,,,,,
form8s,ssoc_date_2,date,,,,,,
form8s,ssoc_date_3,date,,,,,,
form8s,ssoc_required,string,,,,,,
form8s,updated_at,datetime ∗,x,,,,,
form8s,vacols_id,string,,,,,,
form8s,veteran_name,string,,,,,,
global_admin_logins,,,,,,,,
global_admin_logins,admin_css_id,string,,,,,,
global_admin_logins,created_at,datetime,,,,,,
global_admin_logins,id,integer PK,x,x,,,,
global_admin_logins,target_css_id,string,,,,,,
global_admin_logins,target_station_id,string,,,,,,
global_admin_logins,updated_at,datetime,,,,,x,
hearings,,,,,,,,
hearings,appeal_id,integer ∗ FK,x,,x,,,Appeal ID; use as FK to appeals
hearings,bva_poc,string,,,,,,Hearing coordinator full name
hearings,created_at,datetime,,,,,,Automatic timestamp when row was created.
hearings,created_by_id,integer (8) FK,,,x,,x,The ID of the user who created the Hearing
hearings,disposition,string,,,,,,"Hearing disposition; can be one of: 'held', 'postponed', 'no_show', or 'cancelled'"
hearings,evidence_window_waived,boolean,,,,,,Determines whether the veteran/appelant has wavied the 90 day evidence hold
hearings,hearing_day_id,integer ∗ FK,x,,x,,,HearingDay ID; use as FK to HearingDays
hearings,id,integer (8) PK,x,x,,,,
hearings,judge_id,integer FK,,,x,,,User ID of judge who will hold the hearing
hearings,military_service,string,,,,,,Periods and circumstances of military service
hearings,notes,string,,,,,,Any notes taken prior or post hearing
hearings,prepped,boolean,,,,,,Determines whether the judge has checked the hearing as prepped
hearings,representative_name,string,,,,,,Name of Appellant's representative if applicable
hearings,room,string,,,,,,The room at BVA where the hearing will take place; ported from associated HearingDay
hearings,scheduled_time,time ∗,x,,,,,Date and Time when hearing will take place
hearings,summary,text,,,,,,Summary of hearing
hearings,transcript_requested,boolean,,,,,,Determines whether the veteran/appellant has requested the hearing transcription
hearings,transcript_sent_date,date,,,,,,Date of when the hearing transcription was sent to the Veteran/Appellant
hearings,updated_at,datetime,,,,,x,Timestamp when record was last updated.
hearings,updated_by_id,integer (8) FK,,,x,,x,The ID of the user who most recently updated the Hearing
hearings,uuid,uuid ∗,x,,,,x,
hearings,witness,string,,,,,,Witness/Observer present during hearing
hearing_days,,,,,,,,
hearing_days,bva_poc,string,,,,,,Hearing coordinator full name
hearing_days,created_at,datetime ∗,x,,,,,Automatic timestamp of when hearing day was created
hearing_days,created_by_id,integer (8) ∗ FK,x,,x,,x,The ID of the user who created the Hearing Day
hearing_days,deleted_at,datetime,,,,,x,Automatic timestamp of when hearing day was deleted
hearing_days,first_slot_time,string (5),,,,,,The first time slot available; interpreted as the local time at Central office or the RO
hearing_days,id,integer (8) PK,x,x,,,,
hearing_days,judge_id,integer FK,,,x,,,User ID of judge who is assigned to the hearing day
hearing_days,lock,boolean,,,,,,Determines if the hearing day is locked and can't be edited
hearing_days,notes,text,,,,,,Any notes about hearing day
hearing_days,number_of_slots,integer,,,,,,The number of time slots possible for this day
hearing_days,regional_office,string,,,,,,Regional office key associated with hearing day
hearing_days,request_type,string ∗,x,,,,,"Hearing request types for all associated hearings; can be one of: 'T', 'C' or 'V'"
hearing_days,room,string,,,,,,The room at BVA where the hearing will take place
hearing_days,scheduled_for,date ∗,x,,,,,The date when all associated hearings will take place
hearing_days,slot_length_minutes,integer,,,,,,The length in minutes of each time slot for this day
hearing_days,updated_at,datetime ∗,x,,,,x,Automatic timestamp of when hearing day was updated
hearing_days,updated_by_id,integer (8) ∗ FK,x,,x,,x,The ID of the user who most recently updated the Hearing Day
hearing_issue_notes,,,,,,,,
hearing_issue_notes,allow,boolean,,,,,,
hearing_issue_notes,created_at,datetime,,,,,,
hearing_issue_notes,deny,boolean,,,,,,
hearing_issue_notes,dismiss,boolean,,,,,,
hearing_issue_notes,hearing_id,integer (8) ∗ FK,x,,x,,x,
hearing_issue_notes,id,integer (8) PK,x,x,,,,
hearing_issue_notes,remand,boolean,,,,,,
hearing_issue_notes,reopen,boolean,,,,,,
hearing_issue_notes,request_issue_id,integer (8) ∗ FK,x,,x,,x,
hearing_issue_notes,updated_at,datetime,,,,,x,
hearing_issue_notes,worksheet_notes,string,,,,,,
hearing_locations,,,,,,,,
hearing_locations,address,string,,,,,,Full address of the location
hearing_locations,city,string,,,,,,"i.e 'New York', 'Houston', etc"
hearing_locations,classification,string,,,,,,"The classification for location; i.e 'Regional Benefit Office', 'VA Medical Center (VAMC)', etc"
hearing_locations,created_at,datetime ∗,x,,,,,Automatic timestamp of when hearing location was created
hearing_locations,distance,float,,,,,,Distance between appellant's location and the hearing location
hearing_locations,facility_id,string ∗,x,,,,,"Id associated with the facility; i.e 'vba_313', 'vba_354a', 'vba_317', etc"
hearing_locations,facility_type,string,,,,,,"The type of facility; i.e, 'va_benefits_facility', 'va_health_facility', 'vet_center', etc"
hearing_locations,hearing_id,integer FK,,,x,,x,Hearing/LegacyHearing ID; use as FK to hearings/legacy_hearings
hearing_locations,hearing_type,string,,,,,x,'Hearing' or 'LegacyHearing'
hearing_locations,id,integer (8) PK,x,x,,,,
hearing_locations,name,string,,,,,,"Name of location; i.e 'Chicago Regional Benefit Office', 'Jennings VA Clinic', etc"
hearing_locations,state,string,,,,,,"State in abbreviated form; i.e 'NY', 'CA', etc"
hearing_locations,updated_at,datetime ∗,x,,,,x,Automatic timestamp of when hearing location was updated
hearing_locations,zip_code,string,,,,,,
hearing_task_associations,,,,,,,,
hearing_task_associations,created_at,datetime,,,,,,Automatic timestamp of when association was created
hearing_task_associations,hearing_id,integer (8) ∗ FK,x,,x,,x,Hearing/LegacyHearing ID; use as FK to hearings/legacy_hearings
hearing_task_associations,hearing_task_id,integer (8) ∗ FK,x,,x,,x,associated HearingTask ID; use as fk to tasks
hearing_task_associations,hearing_type,string ∗,x,,,,x,'Hearing' or 'LegacyHearing'
hearing_task_associations,id,integer (8) PK,x,x,,,,
hearing_task_associations,updated_at,datetime,,,,,x,Automatic timestamp of when association was updated
hearing_views,,,,,,,,
hearing_views,created_at,datetime,,,,,,Automatic timestamp of when hearing view was created
hearing_views,hearing_id,integer ∗ FK,x,,x,,x,Hearing/LegacyHearing ID; use as FK to hearings/legacy_hearings
hearing_views,hearing_type,string,,,,,x,'Hearing' or 'LegacyHearing'
hearing_views,id,integer PK,x,x,,,,
hearing_views,updated_at,datetime,,,,,,Automatic timestamp of when hearing view was updated
hearing_views,user_id,integer ∗ FK,x,,x,,x,User ID; use as FK to users
higher_level_reviews,,,,,,,,Intake data for Higher Level Reviews.
higher_level_reviews,benefit_type,string ∗,x,,,,,"The benefit type selected by the Veteran on their form, also known as a Line of Business."
higher_level_reviews,created_at,datetime,,,,,,
higher_level_reviews,establishment_attempted_at,datetime,,,,,,Timestamp for the most recent attempt at establishing a claim.
higher_level_reviews,establishment_canceled_at,datetime,,,,,,Timestamp when job was abandoned
higher_level_reviews,establishment_error,string,,,,,,The error captured for the most recent attempt at establishing a claim if it failed.  This is removed once establishing the claim succeeds.
higher_level_reviews,establishment_last_submitted_at,datetime,,,,,,Timestamp for the latest attempt at establishing the End Products for the Decision Review.
higher_level_reviews,establishment_processed_at,datetime,,,,,,Timestamp for when the End Product Establishments for the Decision Review successfully finished processing.
higher_level_reviews,establishment_submitted_at,datetime,,,,,,Timestamp for when the Higher Level Review was submitted by a Claims Assistant. This adds the End Product Establishment to a job to finish processing asynchronously.
higher_level_reviews,id,integer (8) PK,x,x,,,,
higher_level_reviews,informal_conference,boolean,,,,,,Indicates whether a Veteran selected on their Higher Level Review form to have an informal conference. This creates a claimant letter and a tracked item in BGS.
higher_level_reviews,legacy_opt_in_approved,boolean,,,,,,"Indicates whether a Veteran opted to withdraw their Higher Level Review request issues from the legacy system if a matching issue is found. If there is a matching legacy issue and it is not withdrawn, then that issue is ineligible to be a new request issue and a contention will not be created for it."
higher_level_reviews,receipt_date,date ∗,x,,,,,The date that the Higher Level Review form was received by central mail. This is used to determine which issues are eligible to be appealed based on timeliness.  Only issues decided prior to the receipt date will show up as contestable issues.  It is also the claim date for any associated end products that are established.
higher_level_reviews,same_office,boolean,,,,,,Whether the Veteran wants their issues to be reviewed by the same office where they were previously reviewed. This creates a special issue on all of the contentions created on this Higher Level Review.
higher_level_reviews,updated_at,datetime,,,,,x,
higher_level_reviews,uuid,uuid ∗,x,,,,x,The universally unique identifier for the Higher Level Review. Can be used to link to the claim after it is completed.
higher_level_reviews,veteran_file_number,string ∗,x,,,,x,The file number of the Veteran that the Higher Level Review is for.
higher_level_reviews,veteran_is_not_claimant,boolean,,,,,,"Indicates whether the Veteran is the claimant on the Higher Level Review form, or if the claimant is someone else like a spouse or a child. Must be TRUE if the Veteran is deceased."
ihp_drafts,,,,,,,,
ihp_drafts,appeal_id,integer ∗ FK,x,,x,,x,Appeal id the IHP was written for
ihp_drafts,appeal_type,string ∗,x,,,,x,Type of appeal the IHP was written for
ihp_drafts,created_at,datetime ∗,x,,,,,Default created_at/updated_at timestamps
ihp_drafts,id,integer (8) PK,x,x,,,,
ihp_drafts,organization_id,integer ∗ FK,x,,x,,x,IHP-writing VSO that drafted the IHP
ihp_drafts,path,string ∗,x,,,,,Path to the IHP in the VA V: drive
ihp_drafts,updated_at,datetime ∗,x,,,,,Default created_at/updated_at timestamps
intakes,,,,,,,,Represents the intake of an form or request made by a veteran.
intakes,cancel_other,string,,,,,,Notes added if a user canceled an intake for any reason other than the stock set of options.
intakes,cancel_reason,string,,,,,,"The reason the intake was canceled. Could have been manually canceled by a user, or automatic."
intakes,completed_at,datetime,,,,,,"Timestamp for when the intake was completed, whether it was successful or not."
intakes,completion_started_at,datetime,,,,,,Timestamp for when the user submitted the intake to be completed.
intakes,completion_status,string,,,,,,"Indicates whether the intake was successful, or was closed by being canceled, expired, or due to an error."
intakes,created_at,datetime,,,,,,
intakes,detail_id,integer FK,,,x,,x,The ID of the record created as a result of the intake.
intakes,detail_type,string,,,,,x,The type of the record created as a result of the intake.
intakes,error_code,string,,,,,,"If the intake was unsuccessful due to a set of known errors, the error code is stored here. An error is also stored here for RAMP elections that are connected to an active end product, even though the intake is a success."
intakes,id,integer PK,x,x,,,,
intakes,started_at,datetime,,,,,,"Timestamp for when the intake was created, which happens when a user successfully searches for a Veteran."
intakes,type,string,,,,,x,The class name of the intake.
intakes,updated_at,datetime,,,,,x,
intakes,user_id,integer ∗ FK,x,,x,,x,The ID of the user who created the intake.
intakes,veteran_file_number,string,,,,,x,The VBA corporate file number of the Veteran for this review. There can sometimes be more than one file number per Veteran.
job_notes,,,,,,,,
job_notes,created_at,datetime ∗,x,,,,,Default created_at/updated_at
job_notes,id,integer (8) PK,x,x,,,,
job_notes,job_id,integer (8) ∗ FK,x,,x,,x,The job to which the note applies
job_notes,job_type,string ∗,x,,,,x,
job_notes,note,text ∗,x,,,,,The note
job_notes,send_to_intake_user,boolean,,,,,,Should the note trigger a message to the job intake user
job_notes,updated_at,datetime ∗,x,,,,x,Default created_at/updated_at
job_notes,user_id,integer (8) ∗ FK,x,,x,,x,The user who created the note
judge_case_reviews,,,,,,,,
judge_case_reviews,areas_for_improvement,text,,,,,,
judge_case_reviews,attorney_id,integer FK,,,x,,,
judge_case_reviews,comment,text,,,,,,
judge_case_reviews,complexity,string ∗,x,,,,,
judge_case_reviews,created_at,datetime ∗,x,,,,,
judge_case_reviews,factors_not_considered,text,,,,,,
judge_case_reviews,id,integer (8) PK,x,x,,,,
judge_case_reviews,judge_id,integer FK,,,x,,,
judge_case_reviews,location,string ∗,x,,,,,
judge_case_reviews,one_touch_initiative,boolean,,,,,,
judge_case_reviews,positive_feedback,text,,,,,,
judge_case_reviews,quality,string ∗,x,,,,,
judge_case_reviews,task_id,string ∗ FK,x,,x,,,
judge_case_reviews,updated_at,datetime ∗,x,,,,x,
legacy_appeals,,,,,,,,
legacy_appeals,appeal_series_id,integer (8) FK,,,x,,x,
legacy_appeals,changed_hearing_request_type,string,,,,,,The new hearing type preference for an appellant that needs a hearing scheduled
legacy_appeals,closest_regional_office,string,,,,,,
legacy_appeals,contaminated_water_at_camp_lejeune,boolean,,,,,,
legacy_appeals,created_at,datetime,,,,,,
legacy_appeals,dic_death_or_accrued_benefits_united_states,boolean,,,,,,
legacy_appeals,dispatched_to_station,string,,,,,,
legacy_appeals,education_gi_bill_dependents_educational_assistance_scholars,boolean,,,,,,
legacy_appeals,foreign_claim_compensation_claims_dual_claims_appeals,boolean,,,,,,
legacy_appeals,foreign_pension_dic_all_other_foreign_countries,boolean,,,,,,
legacy_appeals,foreign_pension_dic_mexico_central_and_south_america_caribb,boolean,,,,,,
legacy_appeals,hearing_including_travel_board_video_conference,boolean,,,,,,
legacy_appeals,home_loan_guaranty,boolean,,,,,,
legacy_appeals,id,integer (8) PK,x,x,,,,
legacy_appeals,incarcerated_veterans,boolean,,,,,,
legacy_appeals,insurance,boolean,,,,,,
legacy_appeals,issues_pulled,boolean,,,,,,
legacy_appeals,manlincon_compliance,boolean,,,,,,
legacy_appeals,mustard_gas,boolean,,,,,,
legacy_appeals,national_cemetery_administration,boolean,,,,,,
legacy_appeals,nonrating_issue,boolean,,,,,,
legacy_appeals,original_hearing_request_type,string,,,,,,The hearing type preference for an appellant before any changes were made in Caseflow
legacy_appeals,pension_united_states,boolean,,,,,,
legacy_appeals,private_attorney_or_agent,boolean,,,,,,
legacy_appeals,radiation,boolean,,,,,,
legacy_appeals,rice_compliance,boolean,,,,,,
legacy_appeals,spina_bifida,boolean,,,,,,
legacy_appeals,updated_at,datetime,,,,,x,
legacy_appeals,us_territory_claim_american_samoa_guam_northern_mariana_isla,boolean,,,,,,
legacy_appeals,us_territory_claim_philippines,boolean,,,,,,
legacy_appeals,us_territory_claim_puerto_rico_and_virgin_islands,boolean,,,,,,
legacy_appeals,vacols_id,string ∗,x,,,,x,
legacy_appeals,vamc,boolean,,,,,,
legacy_appeals,vbms_id,string,,,,,,
legacy_appeals,vocational_rehab,boolean,,,,,,
legacy_appeals,waiver_of_overpayment,boolean,,,,,,
legacy_hearings,,,,,,,,
legacy_hearings,appeal_id,integer FK,,,x,,,LegacyAppeal ID; use as FK to legacy_appeals
legacy_hearings,created_at,datetime,,,,,,Automatic timestamp when row was created.
legacy_hearings,created_by_id,integer (8) FK,,,x,,x,The ID of the user who created the Legacy Hearing
legacy_hearings,hearing_day_id,integer (8),,,,,x,The hearing day the hearing will take place on
legacy_hearings,id,integer (8) PK,x,x,,,,
legacy_hearings,military_service,string,,,,,,Periods and circumstances of military service
legacy_hearings,original_vacols_request_type,string,,,,,,"The original request type of the hearing in VACOLS, before it was changed to Virtual"
legacy_hearings,prepped,boolean,,,,,,Determines whether the judge has checked the hearing as prepped
legacy_hearings,summary,text,,,,,,Summary of hearing
legacy_hearings,updated_at,datetime,,,,,x,Timestamp when record was last updated.
legacy_hearings,updated_by_id,integer (8) FK,,,x,,x,The ID of the user who most recently updated the Legacy Hearing
legacy_hearings,user_id,integer FK,,,x,,x,User ID of judge who will hold the hearing
legacy_hearings,vacols_id,string ∗,x,,,,x,Corresponds to VACOLS’ hearsched.hearing_pkseq
legacy_hearings,witness,string,,,,,,Witness/Observer present during hearing
legacy_issues,,,,,,,,"On an AMA decision review, when a veteran requests to review an issue that is already being contested on a legacy appeal, the legacy issue is connected to the request issue. If the veteran also chooses to opt their legacy issues into AMA and the issue is eligible to be transferred to AMA, the issues are closed in VACOLS through a legacy issue opt-in. This table stores the legacy issues connected to each request issue, and the record for opting them into AMA (if applicable)."
legacy_issues,created_at,datetime ∗,x,,,,,Default created_at/updated_at
legacy_issues,id,integer (8) PK,x,x,,,,
legacy_issues,request_issue_id,integer (8) ∗ FK,x,,x,,x,The request issue the legacy issue is being connected to.
legacy_issues,updated_at,datetime ∗,x,,,,,Default created_at/updated_at
legacy_issues,vacols_id,string ∗,x,,,,,The VACOLS ID of the legacy appeal that the legacy issue is part of.
legacy_issues,vacols_sequence_id,integer ∗,x,,,,,The sequence ID of the legacy issue on the legacy appeal. The vacols_id and vacols_sequence_id form a composite key to identify a specific legacy issue.
legacy_issue_optins,,,,,,,,"When a VACOLS issue from a legacy appeal is opted-in to AMA, this table keeps track of the related request_issue, and the status of processing the opt-in, or rollback if the request issue is removed from a Decision Review."
legacy_issue_optins,created_at,datetime ∗,x,,,,,"When a Request Issue is connected to a VACOLS issue on a legacy appeal, and the Veteran has agreed to withdraw their legacy appeals, a legacy_issue_optin is created at the time the Decision Review is successfully intaken. This is used to indicate that the legacy issue should subsequently be opted into AMA in VACOLS. "
legacy_issue_optins,error,string,,,,,,
legacy_issue_optins,folder_decision_date,date,,,,,,Decision date on case record folder
legacy_issue_optins,id,integer (8) PK,x,x,,,,
legacy_issue_optins,legacy_issue_id,integer (8) FK,,,x,,x,"The legacy issue being opted in, which connects to the request issue"
legacy_issue_optins,optin_processed_at,datetime,,,,,,"The timestamp for when the opt-in was successfully processed, meaning it was updated in VACOLS as opted into AMA."
legacy_issue_optins,original_disposition_code,string,,,,,,The original disposition code of the VACOLS issue being opted in. Stored in case the opt-in is rolled back.
legacy_issue_optins,original_disposition_date,date,,,,,,The original disposition date of the VACOLS issue being opted in. Stored in case the opt-in is rolled back.
legacy_issue_optins,original_legacy_appeal_decision_date,date,,,,,,The original disposition date of a legacy appeal being opted in
legacy_issue_optins,original_legacy_appeal_disposition_code,string,,,,,,The original disposition code of legacy appeal being opted in
legacy_issue_optins,request_issue_id,integer (8) ∗ FK,x,,x,,x,The request issue connected to the legacy VACOLS issue that has been opted in.
legacy_issue_optins,rollback_created_at,datetime,,,,,,"Timestamp for when the connected request issue is removed from a Decision Review during edit, indicating that the opt-in needs to be rolled back."
legacy_issue_optins,rollback_processed_at,datetime,,,,,,Timestamp for when a rolled back opt-in has successfully finished being rolled back.
legacy_issue_optins,updated_at,datetime ∗,x,,,,x,Automatically populated when the record is updated.
messages,,,,,,,,
messages,created_at,datetime ∗,x,,,,,
messages,detail_id,integer FK,,,x,,x,ID of the related object
messages,detail_type,string,,,,,x,Model name of the related object
messages,id,integer (8) PK,x,x,,,,
messages,message_type,string,,,,,,The type of event that caused this message to be created
messages,read_at,datetime,,,,,,When the message was read
messages,text,string,,,,,,The message
messages,updated_at,datetime ∗,x,,,,x,
messages,user_id,integer ∗ FK,x,,x,,,The user for whom the message is intended
nod_date_updates,,,,,,,,"Tracks changes to an AMA appeal's receipt date (aka, NOD date)"
nod_date_updates,appeal_id,integer (8) ∗ FK,x,,x,,x,Appeal for which the NOD date is being edited
nod_date_updates,change_reason,string ∗,x,,,,,Reason for change: entry_error or new_info
nod_date_updates,created_at,datetime ∗,x,,,,,Default created_at/updated_at timestamps
nod_date_updates,id,integer (8) PK,x,x,,,,
nod_date_updates,new_date,date ∗,x,,,,,Date after update
nod_date_updates,old_date,date ∗,x,,,,,Date before update
nod_date_updates,updated_at,datetime ∗,x,,,,,Default created_at/updated_at timestamps
nod_date_updates,user_id,integer (8) ∗ FK,x,,x,,x,User that updated the NOD date
non_availabilities,,,,,,,,
non_availabilities,created_at,datetime ∗,x,,,,,
non_availabilities,date,date,,,,,,
non_availabilities,id,integer (8) PK,x,x,,,,
non_availabilities,object_identifier,string ∗,x,,,,,
non_availabilities,schedule_period_id,integer (8) ∗ FK,x,,x,,x,
non_availabilities,type,string ∗,x,,,,,
non_availabilities,updated_at,datetime ∗,x,,,,x,
organizations,,,,,,,,
organizations,accepts_priority_pushed_cases,boolean,,,,,x,Whether a JudgeTeam currently accepts distribution of automatically pushed priority cases
organizations,created_at,datetime,,,,,,
organizations,id,integer (8) PK,x,x,,,,
organizations,name,string ∗,x,,,,,
organizations,participant_id,string,,,,,,Organizations BGS partipant id
organizations,role,string,,,,,,"Role users in organization must have, if present"
organizations,status,string,,,,,x,"Whether organization is active, inactive, or in some other Status."
organizations,status_updated_at,datetime,,,,,,Track when organization status last changed.
organizations,type,string,,,,,,Single table inheritance
organizations,updated_at,datetime,,,,,x,
organizations,url,string ∗ U,x,,,x,x,Unique portion of the organization queue url
organizations_users,,,,,,,,
organizations_users,admin,boolean,,,,,,
organizations_users,created_at,datetime,,,,,,
organizations_users,id,integer (8) PK,x,x,,,,
organizations_users,organization_id,integer FK,,,x,,x,
organizations_users,updated_at,datetime,,,,,x,
organizations_users,user_id,integer FK,,,x,,x,
people,,,,,,,,
people,created_at,datetime ∗,x,,,,,
people,date_of_birth,date,,,,,,
people,email_address,string,,,,,,"Person email address, cached from BGS"
people,first_name,string,,,,,,"Person first name, cached from BGS"
people,id,integer (8) PK,x,x,,,,
people,last_name,string,,,,,,"Person last name, cached from BGS"
people,middle_name,string,,,,,,"Person middle name, cached from BGS"
people,name_suffix,string,,,,,,"Person name suffix, cached from BGS"
people,participant_id,string ∗,x,,,,x,
people,ssn,string,,,,,x,"Person Social Security Number, cached from BGS"
people,updated_at,datetime ∗,x,,,,x,
post_decision_motions,,,,,,,,"Stores the disposition and associated task of post-decisional motions handled by the Litigation Support Team: Motion for Reconsideration, Motion to Vacate, and Clear and Unmistakeable Error."
post_decision_motions,appeal_id,integer (8) FK,,,x,,,
post_decision_motions,created_at,datetime ∗,x,,,,,
